simulation,graph_type,n_vertices,n_edges,n_components,n_faces,mean_degree,std_degree,min_degree,max_degree,mean_length,std_length,min_length,max_length,total_length,entropy_degree,entropy_length,entropy_orientation,is_connected,density
25,Gabriel,100,181,1,83,3.62,1.084250893474384,1,8,0.0978679757535727,0.051700378269479055,0.01048902926964476,0.28965574632285024,17.71410361139666,2.0606609325488217,2.8107195557778075,5.02740200579892,True,0.036565656565656565
25,RNG,100,117,1,19,2.34,0.7102112361825881,1,4,0.07842783195321996,0.04109722358729379,0.01048902926964476,0.20227494728907564,9.176056338526736,1.543806211058221,2.978416948931741,4.958723617360419,True,0.023636363636363636
26,Gabriel,100,164,1,66,3.28,0.990757286120067,2,6,0.09548795127682481,0.05193477103180453,0.008785114158892285,0.3174332589676273,15.660024009399269,1.9232578213038238,2.6400429659937696,4.99826997994325,True,0.03313131313131313
26,RNG,100,125,1,27,2.5,0.6557438524302001,1,4,0.08112270797169631,0.040920734525077,0.008785114158892285,0.2337508580912633,10.14033849646204,1.4226851479290439,2.7737454559298187,4.910918666080817,True,0.025252525252525252
27,Gabriel,100,178,1,80,3.56,1.0799999999999998,1,7,0.09897957250777713,0.0502628859309313,0.008496251411609961,0.23228276627028246,17.618363906384328,2.126546890701284,3.09424731475283,5.002754290226847,True,0.03595959595959596
27,RNG,100,120,1,22,2.4,0.6928203230275509,1,4,0.08245173353078351,0.04214954955196827,0.008496251411609961,0.2084753777722368,9.894208023694022,1.5143029514736246,2.9640565652746242,4.917430185056479,True,0.024242424242424242
28,Gabriel,100,196,1,98,3.92,1.2464349160706305,1,8,0.10245673373274349,0.04841787069485506,0.012626546604441891,0.28727412677787756,20.081519811617724,2.3348552259903252,2.7529897192095394,5.093594415779932,True,0.039595959595959594
28,RNG,100,122,1,24,2.44,0.7391887445030532,1,4,0.08341436688403087,0.039710523400215345,0.012626546604441891,0.20102351884329148,10.176552759851766,1.596820741447795,3.008554435604318,4.912700974219063,True,0.024646464646464646
29,Gabriel,100,179,1,81,3.58,1.1240996397117118,1,7,0.09722256325932795,0.052039531463597584,0.017447432852424696,0.2706149832002009,17.402838823419703,2.202826710056805,2.9126018375606386,5.069563335731673,True,0.03616161616161616
29,RNG,100,121,1,23,2.42,0.6508456038109193,1,4,0.08044124846834215,0.0437336725641284,0.017447432852424696,0.2020641110657664,9.7333910646694,1.4252284235262893,3.0676603743575166,4.959863139836224,True,0.024444444444444446
